ArticleId,Text,Category
1407,rapper snoop dogg sued rape us rapper snoop dogg sued 25m 13m make artist claimed entourage drugged raped two years ago woman said assaulted recording jimmy kimmel live tv show abc network 2003 rapper spokesman said allegations untrue woman misusing legal system means extracting financial gain abc said claims merit star charged police lawsuit filed los angeles friday says woman champagne spiked assaulted rapper spokesperson said snoop opportunity prove court law alleged victim opportunistic deceitful confident case alleged victim claims snoop dogg rejected lawsuit names snoop dogg real name calvin broadus plus three associates walt disney company parent company abc inc woman waited two years sue trying negotiate settlement media companies lawyer perry wander said disney abc failed provide safe working environment client said legal action comes rap star sued woman claimed tried blackmail keep quiet alleged assault 32 year old rapper enjoyed six us top 10 albums since bursting onto music scene hit songs like name gin juice 1993 ,entertainment
687,musical treatment capra film classic film wonderful life turned musical producer controversial hit show jerry springer opera frank capra 1946 movie starring james stewart turned 7m musical producer jon thoday working steve brown wrote award winning musical spend spend spend spokeswoman said plans early stages cast opening date theatre announced series workshops held london wednesday cast singers unveiled musical select group potential investors mr thoday said idea turning film musical ambition almost 20 years wonderful life based short story greatest gift philip van doren stern mr thoday managed buy rights story van doren stern family 1999 following mr brown success spend spend spend later secured film rights paramount enabling use title wonderful life ,entertainment
1532,security scares spark browser fix microsoft working new version internet explorer web browser revamp prompted microsoft growing concern security well increased competition rival browsers microsoft said new version far less vulnerable bugs make current browser favourite tech savvy criminals test versions new program called ie 7 due released summer announcement internet explorer made bill gates microsoft chairman chief software architect keynote speech rsa security conference currently held san francisco although details scant mr gates said ie7 would include new protections viruses spyware phishing scams last category threats involves criminals setting spoof websites look identical banks try trick people handing login account information bid shore poor security ie 6 microsoft regularly issued updates patch loopholes exploited criminals makers nuisance programs spyware earlier month released security bulletin patched eight critical security holes found ie browser microsoft also made series acquisitions small firms specialise computer security one first fruits acquisitions appeared last month release microsoft anti spyware program brand anti virus program due follow end 2005 decision make internet explorer 7 widely seen u turn microsoft said need update browser typically new versions browser appear successive versions windows operating system new version ie widely expected debut next version windows codenamed longhorn due appear 2006 current version internet explorer four years old widely seen falling behind rivals firefox opera also persistent rumours search engine google poised produce brand browser based firefox particular firefox browser winning fans users since first full version released november 2004 estimates many users firefox vary widely according market statistics gathered websidestory firefox market share 5 users however browser stat gatherers say figure closer 15 technical websites report majority visitors use firefox browser internet explorer still dominates share 90 peak almost 96 mid 2004 ,tech
2205,argonaut founder rebuilds empire jez san man behind argonaut games group went administration week ago bought back company veteran games developer taken cambridge based add monsters studios london subsidiary morpheme argonaut group went administration due severe cash crisis firing half staff august warned annual losses 6m year 31 july jez san one key figures uk games industry developer received obe 2002 estimated worth 200m peak dotcom boom founded argonaut 1982 behind titles 1993 starfox game recently behind harry potter games playstation like software developers argonaut needed constant flow deals publishers august warned annual losses 6m blaming delays signing new contracts tough conditions software industry group three subsidiaries placed administration week ago mr sans resigning company ceo 100 staff fired latest round cuts 80 workers argonaut headquarters edgware north london 17 morpheme offices kentish town london 22 add monsters base cambridge mr san emerged buying back morpheme add monsters pleased announce sale two businesses going concerns said david rubin administrators david rubin partners saved 40 jobs well substantial employment claims would arisen sales achieved mr rubin said administrators talks sale argonaut software division edgware hopeful finding buyer difficult time employees salute commitment business work towards solution said former employees angry way cash crisis handled one told bbc news online staff fired financially ruined space day ,tech
1394,viewers able shape tv imagine editing titanic watch favourite bits cutting slushier moments star wars leave bare bones action fest manipulating favourite films make personalised movie beginning ambitious new 7 5m euro 5 1m project funded european union new media new millennium nm2 endgame development completely new media genre allow audiences create media worlds based specific interests tastes viewers able participate storylines manipulate plots even sets props tv shows bt one 13 partners involved project contributing software originally designed spot anomalies cctv pictures software uses content recognition algorithms three year project work seven productions develops set software tools allow viewers edit content needs one productions experimental television show plot driven text messages tv audience participants text selected words impact characters drama interact developed finland shown finnish tv audiences another team work bbc big budget drama mervyn peake gothic fantasy gormenghast engineered allow people choose variety edited versions bbc allowing us access material prove technology principles explained dr doug williams bt nm2 technical project manager tv moment relatively dumb box receives signals project teaching machine look content like lego blocks reassembled make perfect sense said moment interactive gaming limited form interactive tv usually means allowing audiences vote shows hoping occupy space added nm2 co ordinator peter stollenmayer explained new genre would radically alter role audience viewers able interact directly medium influence see hear according personal tastes wishes said media users longer passive viewers become active engagers also important tools sophisticated enough obey complex rules cinematography editing said john wyver tv producer illuminations television limited also involved project matter stringing together romantic action portions production said mr wyver tool know bits fit together visually observing time honoured rules go editing terms story personalised version make sense aesthetically pleasing added mr wyver planning production entitled golden age renaissance art allow viewers create called media world based specific areas interest poetry music architecture productions nm2 team make range news documentaries romantic comedy drama ,tech
1522,obituary dame alicia markova dame alicia markova died bath aged 94 uk first prima ballerina modern age heyday greatest western world born lilian alicia marks london 1910 parents comfortably father mining engineer drove rolls royce eight mother took decision changed life fearing flat feet weak legs arranged ballet lessons quickly became apparent something special spotted russian artistic impresario sergei diaghilev wanted dance company ballets russes became ill diphtheria kept touch eventually governess tow joined diaghilev monte carlo 14 toured europe playing top venues diaghilev changed name without even consulting life one great excitement people matisse stravinsky became like uncles latter put charge musical education soon diaghilev death 1929 alicia markova returned england became britain first international ballerina helped launch ballet club mercury theatre later ballet rambert vic wells ballet anton dolin markova dolin ballet 1935 37 also began working young choreographers anthony tudor frederick ashton became huge influences direction ballet west version giselle lightness grace still considered among finest ever also outstanding dying swan one first british ballerinas take major part les sylphides helped popularise ballet britain america alicia markova spent world war ii united states formed ballets russes played huge audiences even appeared hollywood movies 1950 back england anton dolin jointly established festival ballet retired 1963 instant decision said largely leg injury created dame made new career teacher also travelled world directing ballet companies putting shows became director ballet metropolitan opera ballet new york years full time professor ballet performing arts university cincinnati critic said dame alicia markova dancing gave illusion moving weight get ground ,entertainment
455,tv station refuses adoption show tv station us refused show controversial new series adopted children try pick birth father win cash prize wraz tv fox affiliate north carolina one 182 stations refuse monday show daddy promises 100 000 52 000 contestant correctly identifies father met protests national council adoption said exploits sensitive emotions exploits sensitive emotions adoption said thomas atwood president national council adoption trivialises adoption personal meaningful experience commercialised like pre taped programme contestant presented eight men may may natural father picks correct man line contestant wins jackpot prize us 100 000 52 590 however picks wrong man impostor takes money fox producers defended show saying positive experience made six specials though one episode far broadcast special thoroughly vetted standards practices department ensure appropriate broadcast said fox spokesman however network affiliate feels programming may inappropriate individual market right pre empt schedule wraz tv instead chose air independently produced film roots branches personal reflections adoption documentary families adopted children think adoption game show said tommy schenck wraz tv general manager though said decision influenced public protests ,entertainment
593,china ripe media explosion asia set drive global media growth 2008 beyond china india filling two top spots analysts predicted japan south korea singapore also strong players china demographics give edge media conference london heard world populous country population 1 3bn 200 million middle class consumers forty per cent fall key 16 35 year old demographic result attracting huge foreign investment media communications analysts told financial times new media broadcasting conference last week interest china among international media groups surged recent months beijing issued rules allowing foreign investment joint venture television radio film production companies news corporation viacom sony pictures among big names involved joint ventures chinese players 700 million chinese listen 1 000 radio stations 200 tv stations broadcast 2 900 channels china central television cctv state broadcaster claims audience billion people country 360 million households 100 million receive cable tv programmes rest could potential audience satellite broadcasting china plans launch 2006 state administration radio film television sarft regulates broadcasting plans move programmes digital 2015 continuing roll new digital channels boosted demand quality content creating significant opportunities chinese foreign content providers according recent reports china authorities tightened controls foreign investment tv production joint ventures limited foreign companies one joint venture banned involvement found unfriendly according reports sarft said strong ideological component production broadcast television programmes added china must understand political tendencies background overseas partners prevent joint ventures cooperation bringing harmful foreign thinking culture production sector according financial times china correspondent new rules highlight political sensitivities surround foreign involvement china media sector despite beijing decision open state dominated sector international investment well traditional broadcasting chinese foreign entrepreneurs alike see fortunes waiting made new media like mobile services online gaming mobile games already account 15 revenues china 340 million mobile users online gaming sales predicted top billion us dollars next year according uk based journal screen digest video market also seen big opportunity although piracy levels still high despite anti piracy drive past year cinema industry deployment digital screens accelerated modernise venues also curb piracy regulate distribution li ruigang president commercial broadcaster shanghai media group told conference china new media market already experiencing explosive growth particularly strong charged broadband services mobile value added services leading china watcher founder cga consultancy jeanne marie gescher agreed time ripe foreign media groups tap china huge media market potential china media driven investors care people consume media want people consume mrs gescher concluded ,tech
590,broadband fuels online change fast web access encouraging people express online research suggests quarter broadband users britain regularly upload content personal sites according report uk think tank demos said always fast connection changing way people use internet five million households uk broadband number growing fast demos report looked impact broadband people net habits found half broadband logged web breakfast one five even admitted getting middle night browse web significantly argues report broadband encouraging people take active role online found one five post something net everyday ranging comments opinions sites uploading photographs broadband putting media shifts power institutions hands individual said john craig co author demos report self diagnosis online education broadband creates social innovation moves debate beyond simple questions access speed demos report entitled broadband britain end asymmetry commissioned net provider aol broadband moving perception internet piece technology integral part home life uk said karen thomson chief executive aol uk many people spending time computers automatically might switch television radio according analysts nielsen netratings 50 22 8 million uk net users regularly accessing web home month logging high speed spend twice long online people dial connections viewing average 1 444 pages per month popularity fast net access growing partly fuelled fierce competition prices services ,tech
277,halo 2 sells five million copies microsoft celebrating bumper sales xbox sci fi shooter halo 2 game sold five million copies worldwide since went sale mid november company said halo 2 proved popular online gamers notching record 28 million hours playing game xbox live according microsoft nine 10 xbox live members played game average 91 minutes per session sequel best selling need speed underground inched ahead competition take top slot official uk games charts racing game moved one spot first place nudging gta san andreas second place halo 2 dropped one place five half life 2 fell number nine last week new releases goldeneye rogue agent killzone failed make top 10 debuting number 11 12 respectively record numbers warcraft fans settling games online world opening day world warcraft massive multi player online game 200 000 players signed play evening first day 100 000 players world forcing blizzard add another 34 servers cope influx online game turns stand alone warcraft games persistent world players inhabit visit europe gamers could waiting january hear get mitts nintendo handheld device nintendo ds says gamesindustry biz david yarnton nintendo uk general manager told press conference look details new year us launch sunday goes sale japan 2 december nintendo 95 share handheld gaming market said expected sell around five million ds march 2005 ,tech
904,telewest challenge sky plus cable firm telewest offer personal video recorder pvr set top box challenge sky plus sky plus market leader field digital video recorders uk 474 000 subscribers pvrs record tv programmes hard drive letting viewers pause rewind live television effectively time shift viewing experience number pvrs incorporating freeview digital terrestrial tv also market success limited telewest pvr offer 160gb hard drive storage 80 hours programmes box three tuners means viewers record two channels simultaneously watching third channel sky plus boxes come two versions 20gb version 99 160gb version 399 sky also charges 10 subscription fee service unless viewers subscription one premium packages telewest yet reveal pricing new box charging subscription fee service eric tveter president chief operating officer telewest broadband said make pvr set top box available later year putting stop missed soaps interrupted films arguments programmes record pvrs recordable dvd players set replace video recorders standard method recording saving favourite tv programmes last year high street retailer dixons said going stop selling vhs machines favour pvrs recordable dvd machines sky said aims 25 subscribers using sky plus 2010 predicting 10 million total subscribers date currently 7 4 million subscribers telewest provides digital cable 1 7 million customers ,tech
1418,blair buys copies new band aid prime minister tony blair purchased two copies charity single band aid 20 edinburgh friday staff surprised prime minister walked hmv 0900 gmt accompanied aides local police mr blair came unannounced pretty gobsmacked said hmv manager clive smith customer helper approached realised wanted buy copies band aid single rather latest eminem album predicted chart topper know christmas expected sell least 300 000 copies time new chart announced sunday however new version 1984 single going released us despite sold many countries around world us record shops stocking import version know christmas said selling well los angeles new york original track released us reached number 13 singles chart british stars appear current recording dido coldplay chris martin well known music fans across atlantic along u2 frontman bono record company universal responsible global distribution single available across europe asia south america canada music fans us still able access song download band aid 20 official website 1985 group high profile american stars known usa africa came together record fund raising single world song written lionel richie michael jackson quincy jones producer topped us charts three weeks went win grammy awards best record song dionne warwick diana ross tina turner among line performers predicted band aid 20 song sell 300 000 copies uk time new chart announced sunday record also tipped become year christmas number one original version 1984 proceeds sales going towards relief darfur region sudan combat hiv aids across africa ,entertainment
464,dozens held id fraud site twenty eight people including briton arrested global operation website allegedly involved identity fraud arrested accused operating shadowcrew com investigators claim global clearing house criminals involved credit card fraud 19 year old man camberley surrey arrested national hi tech crime unit bailed operation firewall led us secret service involved seven nations british teenager arrested wednesday details emerged friday bailed return surrey police station december 28 people detained globally suspected involved internet based network stole people identities used computers websites defraud credit card companies authorities us indicted 19 people newark new jersey estimate fraud caused losses 4m assistant us attorney scott christie said several people arrested argentina bulgaria canada estonia poland sweden mr christie said one ringleaders believed russian anatoly tyukanov investigators 30 law enforcement agencies worldwide spent 15 months looking activities three websites shadowcrew carderplanet darkprofits us secret service first tipped july 2003 nhtcu spokeswoman said american investigators went undercover shadowcrew website discovered site 4 000 members using organised crime purposes said criminals using websites traffic counterfeit credit cards false identification information documents credit cards driver licences passports birth certificates websites shared tips commit fraud provided forum people could buy information tools needed commit crime said shadowcrew site taken us secret service listed several discussion groups english russian including one hacking spam online anonymity tools head nhtcu acting detective chief superintendent mick deats said investigation resulted significant disruption organised criminals using internet profit believe suspects trafficked least 1 7 million stolen credit card numbers leading losses financial institutions running millions chief supt deats went warn internet offers huge legitimate benefits modern society however brings powerful opportunities seeking abuse benefits criminal gain identity one precious commodities criminals try steal personal financial information ordinary citizens well confidential proprietary information companies engaged e commerce targeted law enforcement ,tech
476,prince crowned top music earner prince earned pop star 2004 beating artists madonna elton john us magazine rolling stone annual list singer banked 56 5m 30 4m concerts album publishing sales musicology tour album kept madonna second place earned 54 9m 29 5m embarking global invention tour veterans simon garfunkel 10th place comeback tour helping earn 24 9m 13 4m last year prince returned centre stage decade commercial wilderness magazine reported singer 2004 tour took 90 3m 48 5m ticket sales sold 1 9 million copies latest album musicology although grossed prince last year madonna remained second place monumental production costs tour heavy metal band metallica madly anger world tour helped push 2004 earnings 43 1m 23 1m ahead sir elton john took fourth place almost 42 7m 23m performances including debut las vegas strip seasoned performers list included rod stewart whose sold shows third volume great american songbook covers album helped net 35m 19m highest ranking rap act list 50 cent number 19 took 24m 13m bank ,entertainment
2017,high definition dvds first humble home video dvd hollywood preparing next revolution home entertainment high definition high definition gives incredible 3d like pictures surround sound dvd disks gear play another year still number issues sorted high definition films come new format dvds profoundly change home entertainment rick dean director business development digital content company thx high definition future exciting prospect worked star wars dvd trilogy finding nemo incredibles indiana jones time long ago film world video world two completely separate worlds told bbc news website technology dealing means much conjoined film see theatres coming digital file take home video master says currently putting master feature film onto dvd requires severe compression current dvd technology cannot hold much high definition films demand much compress picture data rate wise also take qualities away picture fight hard keep master explains would love able show people projects worked really look like high def world find exciting high definition dvds hold six times data dvds used take time though persuade people spent money dvd players buy different players displays required watch high definition dvds 18 months time mr dean confident though think see real hd high definition heavily compressed version remarkable difference heard comments people say images pop screen high definition mean changes working behind scenes whole producing films high definition dvds easier ways less compression needed equally may mean hollywood studios ask put onto average dvd master movies right data rates running 1 2 gigabits per second says mr dean dvds put today squashed five six megabits per second huge amount compression applied 98 anything allows space compress hard studios could fit lot marketing material games features onto high capacity dvds currently entire dvd project take three months says mr dean although step converting bypassed realistically save day work says mr dean one time consuming elements building dvd navigation menu systems fairly complex star wars disks making sure menu buttons worked took 45 human hours alone studios want cash extra space could mean extra human hours someone pay decision studio side going put lot disks could expensive extra navigation required studios focus delivering added value content thinks mr dean ultimately could mean want money costs could filter price ticket high definition dvd consumer willing pay premium price studios listen thinks mr dean high definition throws challenge film makers dvd production alike clarity screen means film makers make doubly sure attention detail meticulous first hd version star wars episode everybody sun tanned make hd version episode make lines showed explains mr dean restoration older star wars episodes revealed interesting items scans corridor death star fairly plainly one shots file cabinet stuck behind one doorways never used able see things blurred enough pan see high definition revolution ultimately means line home entertainment cinema worlds blur home theatre systems turning living rooms cinemas line blurs even could also mean get films format widen future going look towards file delivery ip internet protocol broadband giving dvd like experience set top box hard drive says mr dean time people still like show something physical bookshelves ,tech
1742,us state acts stop spammers us state texas filed lawsuit two men believed among world top five spammers seeking millions dollars damages civil lawsuit filed earlier week texas attorney general said started legal action messages sent alleged spammers broke three laws governing e mail marketing company named lawsuit denied wrongdoing said complied relevant laws texas lawsuit filed ryan samuel pitylak university oftexas student mark stephen trotter california thought top executives three companies payperaction llc leadplex llc leadplex inc suspected sending many millions unwanted e mail messages illegal spam must stopped said greg abbott texas attorney general announcing legal action spam one aggravating pervasive problems facing consumers today attorney general alleges messages sent mr pitylak mr trotter companies broke 2003 controlling assault non solicited pornography marketing act spam well texas electronic mail solicitation act texas deceptive trade practices act three acts confer cash penalties violation terms men found guilty penalties applied two men could face damages bill running millions mr abbott said messages sent pair broke laws using misleading subject lines identifying adverts offering services licence texas lawyers alleged spammers said lawsuit groundless two men would defend strongly accusations leadplex payperaction legitimate internet marketing companies complete compliance federal spam act said lin hughes speaking behalf mr pitylak mr trotter similar move us federal trade commission ftc court order stops international group spammers sending sexually explicit e mail ftc took action messages sent violated several parts spam act particular pornographic messages identify sexually explicit deceptive subject headings working opt mechanisms failed mention adverts give sender real world address court order stops spammers sending e mail freezes assets prior hearing permanent injunction ,tech
